Time,Magnitude (nT),X,Y,Z
1996-06-30T02:00:53.404000,-8.71,206132.94893341398,1748980.5747651176,821957.5094924717
1996-06-30T02:01:26.738000,-10.3,205930.63536103332,1749219.0752133369,822085.526027506
1996-06-30T02:02:00.071000,-12.26,205722.18702640507,1749464.7685697004,822217.405694693
1996-06-30T02:02:33.404000,-12.27,205519.86560164802,1749703.202291722,822345.3908702008
1996-06-30T02:04:08.071000,-13.38,204937.40360607902,1750389.4190087803,822713.7468492117
1996-06-30T02:04:41.404000,-12.22,204735.06724011013,1750627.7253467916,822841.67215427
1996-06-30T02:06:16.071000,-13.6,204152.56234598285,1751313.5755263094,823209.8558543235
1996-06-30T02:06:49.404000,-12.97,203950.21111782332,1751551.7546014208,823337.7213413803
1996-06-30T02:08:24.071000,-18.34,203367.66355248383,1752237.2385918284,823705.7329133238
1996-06-30T02:08:57.404000,-19.0,203165.2975412144,1752475.2905247924,823833.5386345885
1996-06-30T02:09:31.404000,-16.33,202956.7952536345,1752720.5218894263,823965.2011496258
1996-06-30T02:10:04.737000,-15.87,202754.42153563089,1752958.5073196979,824092.9756081544
1996-06-30T02:10:38.071000,-14.89,202545.9113189737,1753203.670183557,824224.6059205553
1996-06-30T02:11:11.404000,-15.34,202343.52991581694,1753441.5891441556,824352.3491306517
1996-06-30T02:11:44.737000,-15.15,202141.1447354756,1753679.4753778712,824480.0769549783
1996-06-30T02:12:18.070000,-15.4,201932.62272544132,1753924.5360647999,824611.6592310457
1996-06-30T02:12:51.404000,-15.43,201730.22989205015,1754162.3558783114,824739.355828277
1996-06-30T02:13:24.737000,-15.34,201527.83329688528,1754400.1429892578,824867.0370502878
1996-06-30T02:13:58.070000,-15.2,201319.2995430745,1754645.1015750691,824998.5713226824
1996-06-30T02:14:31.404000,-14.73,201116.89532696307,1754882.8223150421,825126.2213391134
1996-06-30T02:15:04.737000,-16.47,200914.48736508487,1755120.5103768867,825253.8559906348
1996-06-30T02:15:38.070000,-15.61,200705.94191641267,1755365.366937155,825385.3422923154
1996-06-30T02:16:11.404000,-16.86,200503.52636542296,1755602.9886768996,825512.9457593552
1996-06-30T02:16:44.737000,-14.09,200301.10708446475,1755840.5777630713,825640.5338723327
