Time,X,Y,Z
1996-06-30T02:00:53.404000,206132.94893341398,1748980.5747651176,821957.5094924717
1996-06-30T18:40:53.404000,-164121.67698331003,2135283.1853614803,1032249.8820246282
1996-07-01T11:20:53.404000,-529791.5158243293,2447836.573283716,1206964.0939738837
1996-07-02T04:00:53.404000,-884538.8201452054,2707787.06484009,1355772.4726361474
1996-07-02T20:40:53.404000,-1226553.4667119689,2928050.369072913,1484725.160265187
1996-07-03T13:20:53.404000,-1555613.5616552273,3117080.263178992,1597848.7146550298
1996-07-04T06:00:53.404000,-1872084.0053541448,3280729.137601921,1697966.4199481923
1996-07-04T22:40:53.404000,-2176534.042711947,3423228.0077338205,1787140.457025391
1996-07-05T15:20:53.404000,-2469583.1680261106,3547745.935715626,1866928.7385816413
1996-07-06T08:00:53.404000,-2751837.1122853276,3656725.6499739247,1938540.9853865155
1996-07-07T00:40:53.404000,-3023862.358536327,3752095.0759880054,2002938.1045649147
1996-07-07T17:20:53.404000,-3286177.833400773,3835406.2625953937,2060898.0260632534
1996-07-08T10:00:53.404000,-3539254.2292448473,3907929.753543666,2113060.755855107
1996-07-09T02:40:53.404000,-3783516.8090751865,3970720.753716154,2159960.191898979
1996-07-09T19:20:53.404000,-4019349.3553617536,4024666.8453488518,2202047.2215007734
1996-07-10T12:00:53.404000,-4247098.175425055,4070522.9221133036,2239706.705483561
1996-07-11T04:40:53.404000,-4467076.036671613,4108937.2432367257,2273270.2017640355
1996-07-11T21:20:53.404000,-4679565.8341691615,4140471.307654934,2303025.7187415897
1996-07-12T14:00:53.404000,-4884823.8985531945,4165615.244789444,2329225.3025620375
1996-07-13T06:40:53.404000,-5083082.901652168,4184799.9222865696,2352091.0313053774
1996-07-13T23:20:53.404000,-5274554.34360705,4198406.521653741,2371819.7666692077
1996-07-14T16:00:53.404000,-5459430.73526215,4206774.199837924,2388586.9676082083
1996-07-15T08:40:53.404000,-5637887.490571327,4210206.298206618,2402549.789248777
1996-07-16T01:20:53.404000,-5810084.598434719,4208975.396335398,2413849.6118735606
1996-07-16T18:00:53.404000,-5976168.132971812,4203327.525932153,2422614.1616333523
1996-07-17T10:40:53.404000,-6136271.52384919,4193485.6966759646,2428959.287083575
1996-07-18T03:20:53.404000,-6290516.631153416,4179652.812555634,2432990.427129083
1996-07-18T20:00:53.404000,-6439014.702948238,4162014.116329058,2434803.84415202
1996-07-19T12:40:53.404000,-6581867.015719533,4140738.2849101964,2434487.21198531
1996-07-20T05:20:53.404000,-6719166.169541814,4115981.5098421015,2432121.6063578236
1996-07-20T22:00:53.404000,-6850996.521891131,4087888.0425448227,2427781.8188539315
1996-07-21T14:40:53.404000,-6977434.54857463,4056590.5624056486,2421536.5787024726
1996-07-22T07:20:53.404000,-7098549.4947316935,4022211.9642886287,2413449.438074053
1996-07-23T00:00:53.404000,-7214403.816485275,3984866.3415358956,2403579.27125671
1996-07-23T16:40:53.404000,-7325053.607242449,3944659.85338953,2391980.7190929246
1996-07-24T09:20:53.404000,-7430548.971499559,3901691.517012642,2378704.595977788
1996-07-25T02:00:53.404000,-7530934.315427285,3856053.902520243,2363798.2433201163
1996-07-25T18:40:53.404000,-7626248.587821618,3807833.7313147867,2347305.831552781
1996-07-26T11:20:53.404000,-7716525.4918083865,3757112.392852528,2329268.619968553
1996-07-27T04:00:53.404000,-7801793.695008516,3703966.410180397,2309725.193257036
1996-07-27T20:40:53.404000,-7882077.010065303,3648467.8749839547,2288711.682781804
1996-07-28T13:20:53.404000,-7957394.531647045,3590684.8342374526,2266261.9609658434
1996-07-29T06:00:53.404000,-8027760.750723142,3530681.639076296,2242407.81624152
